what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1318529503233
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1318529503253
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1318529503253
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1318529503261
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1318529503278
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1318529503284
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1318529503586
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1318529503622
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1318529503622
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1318529503639
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1318529503645
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1318529503655
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1318529503672
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1318529503683
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1318529503689
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1318529503701
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1318529503724
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1318529503724
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1318529503733
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1318529503748
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1318529503750
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1318529503762
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1318529503770
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1318529503779
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1318529503781
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1318529503800
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1318529503801
os,sysinfo,,,"win32",1318529503805
arch,sysinfo,,,"x86",1318529503805
ws,sysinfo,,,"win32",1318529503805
locale,sysinfo,,,"en_US",1318529503805
processors,sysinfo,,,"2",1318529503805
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1318529503805
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1318529503805
java.specification.name,sysinfo,,,"Java Platform API Specification",1318529503805
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318529503805
java.specification.version,sysinfo,,,"1.6",1318529503805
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1318529503805
java.version,sysinfo,,,"1.6.0_26",1318529503805
java.vm.info,sysinfo,,,"mixed mode",1318529503805
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1318529503805
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1318529503805
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318529503805
java.vm.specification.version,sysinfo,,,"1.0",1318529503805
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1318529503805
java.vm.version,sysinfo,,,"20.1-b02",1318529503805
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1318529503975
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1318529504294
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1318529504313
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1318529504330
