what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1319743651118
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1319743651118
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1319743651135
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1319743651145
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1319743651163
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1319743651171
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1319743651184
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1319743651184
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1319743651184
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1319743651194
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1319743651223
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1319743651254
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1319743651274
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1319743651282
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1319743651283
os,sysinfo,,,"win32",1319743651286
arch,sysinfo,,,"x86",1319743651286
ws,sysinfo,,,"win32",1319743651286
locale,sysinfo,,,"en_US",1319743651286
processors,sysinfo,,,"2",1319743651286
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1319743651286
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1319743651286
java.specification.name,sysinfo,,,"Java Platform API Specification",1319743651286
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1319743651286
java.specification.version,sysinfo,,,"1.6",1319743651286
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1319743651286
java.version,sysinfo,,,"1.6.0_29",1319743651286
java.vm.info,sysinfo,,,"mixed mode, sharing",1319743651286
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1319743651286
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1319743651286
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1319743651286
java.vm.specification.version,sysinfo,,,"1.0",1319743651286
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1319743651286
java.vm.version,sysinfo,,,"20.4-b02",1319743651286
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1319743651557
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1319743651687
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1319743651688
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1319743652046
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1319743652123
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1319743652465
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1319743652476
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1319743652687
opened,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1319743653747
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1319743653776
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319743657706
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319743657765
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1319743657869
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1319743661675
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1319743662201
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1319743662293
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319743662686
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319743664227
